DeviceId,DateTime,Latitude,Longitude,Speed
b6,2026-01-20T21:22:51.0000000Z,18.2028999,120.598167,44
b6,2026-01-20T21:22:59.0000000Z,18.203537,120.598579,33
b6,2026-01-20T21:23:04.0000000Z,18.2038631,120.598793,28
b6,2026-01-20T21:23:07.0000000Z,18.204052,120.598923,31
b6,2026-01-20T21:23:16.0000000Z,18.2046967,120.599335,33
b6,2026-01-20T21:23:23.0000000Z,18.2051353,120.599617,26
b6,2026-01-20T21:23:26.0000000Z,18.2053452,120.599731,39
b6,2026-01-20T21:23:27.0000000Z,18.205534,120.599861,48
b6,2026-01-20T21:23:30.0000000Z,18.2057381,120.599991,50
b6,2026-01-20T21:23:34.0000000Z,18.2062225,120.600319,65
b6,2026-01-20T21:23:38.0000000Z,18.206789,120.6007,68
b6,2026-01-20T21:23:42.0000000Z,18.2073841,120.601097,72
b6,2026-01-20T21:23:45.0000000Z,18.2079754,120.601486,66
b6,2026-01-20T21:23:50.0000000Z,18.2085609,120.601791,63
b6,2026-01-20T21:23:56.0000000Z,18.2094955,120.602058,68
b6,2026-01-20T21:24:03.0000000Z,18.2106419,120.602379,65
b6,2026-01-20T21:24:07.0000000Z,18.2112999,120.602608,72
b6,2026-01-20T21:24:11.0000000Z,18.2119656,120.602867,70
b6,2026-01-20T21:24:17.0000000Z,18.2130146,120.603249,77
b6,2026-01-20T21:24:21.0000000Z,18.2137241,120.603523,70
b6,2026-01-20T21:24:26.0000000Z,18.2144279,120.603798,52
b6,2026-01-20T21:24:30.0000000Z,18.2148914,120.603966,48
b6,2026-01-20T21:24:33.0000000Z,18.2152252,120.604095,46
b6,2026-01-20T21:24:36.0000000Z,18.2154884,120.604195,33
b6,2026-01-20T21:24:39.0000000Z,18.2157192,120.604286,33
b6,2026-01-20T21:24:41.0000000Z,18.2159042,120.604355,42
b6,2026-01-20T21:24:44.0000000Z,18.2162323,120.604469,48
b6,2026-01-20T21:24:55.0000000Z,18.2177353,120.604912,68
b6,2026-01-20T21:25:00.0000000Z,18.2185745,120.60511,66
b6,2026-01-20T21:25:03.0000000Z,18.2190857,120.605247,74
b6,2026-01-20T21:25:08.0000000Z,18.2201767,120.605621,74
b6,2026-01-20T21:25:11.0000000Z,18.2205296,120.605736,74
b6,2026-01-20T21:25:16.0000000Z,18.2214108,120.605949,70
b6,2026-01-20T21:25:20.0000000Z,18.2221298,120.606094,76
b6,2026-01-20T21:25:24.0000000Z,18.2228985,120.606247,79
b6,2026-01-20T21:25:26.0000000Z,18.2234535,120.606384,72
b6,2026-01-20T21:25:29.0000000Z,18.2239399,120.606544,66
b6,2026-01-20T21:25:32.0000000Z,18.2242527,120.606682,70
b6,2026-01-20T21:25:37.0000000Z,18.2251129,120.607117,79
b6,2026-01-20T21:25:44.0000000Z,18.2263527,120.607857,81
b6,2026-01-20T21:25:48.0000000Z,18.2271538,120.608383,70
b6,2026-01-20T21:25:51.0000000Z,18.2274475,120.608574,66
b6,2026-01-20T21:25:54.0000000Z,18.2278786,120.608757,59
b6,2026-01-20T21:25:55.0000000Z,18.2281799,120.608803,63
b6,2026-01-20T21:25:57.0000000Z,18.2283421,120.608818,66
b6,2026-01-20T21:25:59.0000000Z,18.2288837,120.608887,76
b6,2026-01-20T21:26:02.0000000Z,18.2294769,120.60891,81
b6,2026-01-20T21:26:06.0000000Z,18.2303009,120.608894,81
b6,2026-01-20T21:26:10.0000000Z,18.231266,120.608871,72
b6,2026-01-20T21:26:13.0000000Z,18.2314377,120.608871,68
b6,2026-01-20T21:26:16.0000000Z,18.2319031,120.608887,59
b6,2026-01-20T21:26:19.0000000Z,18.2323208,120.609062,61
b6,2026-01-20T21:26:24.0000000Z,18.2328815,120.60965,66
b6,2026-01-20T21:26:29.0000000Z,18.2333641,120.610329,61
