DeviceId,DateTime,Latitude,Longitude,Speed
b6,2026-01-18T22:00:39.0000000Z,18.2085114,120.601776,50
b6,2026-01-18T22:00:45.0000000Z,18.2092609,120.601982,57
b6,2026-01-18T22:00:49.0000000Z,18.2098866,120.60215,68
b6,2026-01-18T22:00:53.0000000Z,18.2105427,120.602341,66
b6,2026-01-18T22:01:02.0000000Z,18.2118282,120.602814,57
b6,2026-01-18T22:01:07.0000000Z,18.2125664,120.603096,66
b6,2026-01-18T22:01:12.0000000Z,18.2133656,120.603416,66
b6,2026-01-18T22:01:16.0000000Z,18.213932,120.603638,52
b6,2026-01-18T22:01:21.0000000Z,18.2143574,120.603798,26
b6,2026-01-18T22:01:23.0000000Z,18.2144775,120.603828,24
b6,2026-01-18T22:01:27.0000000Z,18.214716,120.60392,29
b6,2026-01-18T22:01:36.0000000Z,18.2155743,120.60424,48
b6,2026-01-18T22:01:45.0000000Z,18.2167072,120.60466,57
b6,2026-01-18T22:01:50.0000000Z,18.2173977,120.604866,53
b6,2026-01-18T22:01:54.0000000Z,18.2178745,120.604965,46
b6,2026-01-18T22:02:02.0000000Z,18.218792,120.605186,46
b6,2026-01-18T22:02:12.0000000Z,18.2199593,120.605553,48
b6,2026-01-18T22:02:17.0000000Z,18.2205753,120.605759,55
b6,2026-01-18T22:02:24.0000000Z,18.2215462,120.605988,57
b6,2026-01-18T22:02:28.0000000Z,18.2221146,120.606102,59
b6,2026-01-18T22:02:35.0000000Z,18.2230721,120.606308,52
b6,2026-01-18T22:02:42.0000000Z,18.2239513,120.606583,53
b6,2026-01-18T22:02:51.0000000Z,18.2251701,120.607155,63
b6,2026-01-18T22:03:02.0000000Z,18.2267399,120.608139,68
b6,2026-01-18T22:03:05.0000000Z,18.2271461,120.608406,61
b6,2026-01-18T22:03:09.0000000Z,18.2276402,120.608688,52
b6,2026-01-18T22:03:12.0000000Z,18.2280197,120.608795,53
b6,2026-01-18T22:03:24.0000000Z,18.2298069,120.608925,63
b6,2026-01-18T22:03:33.0000000Z,18.2311783,120.608887,61
b6,2026-01-18T22:03:38.0000000Z,18.231905,120.60891,57
b6,2026-01-18T22:03:42.0000000Z,18.2324009,120.609161,55
b6,2026-01-18T22:03:48.0000000Z,18.232975,120.60984,59
b6,2026-01-18T22:03:56.0000000Z,18.2336826,120.610832,55
b6,2026-01-18T22:04:03.0000000Z,18.2341976,120.611549,44
b6,2026-01-18T22:04:07.0000000Z,18.2344685,120.611931,48
b6,2026-01-18T22:04:19.0000000Z,18.2354851,120.61335,63
b6,2026-01-18T22:04:26.0000000Z,18.2361317,120.614288,63
b6,2026-01-18T22:04:43.0000000Z,18.2377605,120.6166,68
b6,2026-01-18T22:04:59.0000000Z,18.2392826,120.618767,61
b6,2026-01-18T22:05:08.0000000Z,18.2401543,120.61998,66
b6,2026-01-18T22:05:14.0000000Z,18.2406788,120.62075,53
b6,2026-01-18T22:05:17.0000000Z,18.2408905,120.62104,44
b6,2026-01-18T22:05:22.0000000Z,18.241209,120.62149,41
b6,2026-01-18T22:05:26.0000000Z,18.2414398,120.621826,37
b6,2026-01-18T22:05:31.0000000Z,18.2417336,120.622261,46
b6,2026-01-18T22:05:36.0000000Z,18.2420998,120.622734,44
b6,2026-01-18T22:05:42.0000000Z,18.2426777,120.623055,42
b6,2026-01-18T22:05:48.0000000Z,18.2432308,120.623062,33
b6,2026-01-18T22:05:50.0000000Z,18.2433872,120.623062,31
b6,2026-01-18T22:05:52.0000000Z,18.2435646,120.623055,39
b6,2026-01-18T22:05:57.0000000Z,18.2441254,120.622986,46
