Lat,Lon
18.5323803,120.7573707
18.5328931,120.7582199
18.5328595,120.7581307
18.5328093,120.7580756
18.5327618,120.7579811
18.5327065,120.7578923
18.532645,120.7577921
18.5325855,120.7577001
18.5325246,120.7576104
18.5324738,120.7575312
18.5324254,120.7574537
18.5323725,120.7573788
18.5323167,120.7573054
18.5322592,120.7572305
18.5322069,120.7571458
18.5321595,120.7570556
18.532119,120.7569589
18.5320795,120.7568607
18.532044,120.7567609
18.5320109,120.7566598
18.5319801,120.7565598
18.5319506,120.7564583
18.5319219,120.7563547
18.531894,120.7562461
18.5318679,120.756136
18.5318475,120.7560237
18.5318253,120.7559064
18.5318057,120.755793
18.5317879,120.7556784
18.531772,120.7555656
18.531754,120.7554522
18.5317517,120.7553368
18.5317648,120.7552244
18.5317767,120.7551037
18.5317926,120.7549788
18.5318094,120.7548476
18.5318251,120.7547156
18.5318525,120.7545969
18.5318655,120.7544617
18.5318804,120.7543237
18.531903,120.7541979
18.5319191,120.7540658
18.5319336,120.7539354
18.5319498,120.7538105
18.5319661,120.7536907
18.5319622,120.7535687
18.5319504,120.7534485
18.5319249,120.7533264
18.5318923,120.7532025
18.5318537,120.7530787
18.5318105,120.7529565
18.5317651,120.7528351
18.5317186,120.7527148
18.5316704,120.7525933
18.5316209,120.7524713
18.5315722,120.7523474
18.5315226,120.7522249
18.5314736,120.7521025
18.5314242,120.7519828
18.5313742,120.7518636
18.5313235,120.7517469
18.5312642,120.7516339
18.5312023,120.7515226
18.5311361,120.7514116
18.5310628,120.7513095
18.530983,120.7512119
18.5308964,120.7511209
18.530802,120.7510343
18.5307023,120.750955
18.5305952,120.7508782
18.5304874,120.7508051
18.5303771,120.7507346
18.5302671,120.7506635
18.530158,120.7505908
18.5300478,120.7505205
18.529938,120.7504494
18.5298318,120.7503767
18.5297251,120.7503068
18.5296185,120.7502389
18.5295188,120.7501672
18.5294146,120.7500978
18.52931,120.7500327
18.5292031,120.7499678
18.529097,120.7499086
18.5289891,120.7498535
18.5288827,120.7498043
18.5287685,120.7497625
18.5286516,120.749727
18.5285299,120.749699
18.5284054,120.7496749
18.5282784,120.7496522
18.5281469,120.749632
18.5280131,120.749616
18.5278812,120.7496015
18.5277532,120.7495838
18.5276247,120.7495601
18.5275001,120.7495306
18.5273788,120.7494947
18.5272614,120.7494547
18.5271423,120.7494035
18.527028,120.749348
18.5269179,120.749286
18.5268125,120.749217
18.5267121,120.7491424
18.5266135,120.7490631
18.5265214,120.7489803
18.5264311,120.7488931
18.5263457,120.7487994
18.5262663,120.7487009
18.5261964,120.7485947
18.5261209,120.7484912
18.5260469,120.7483845
18.5259737,120.7482728
18.5259014,120.7481602
18.5258305,120.748047
18.5257581,120.7479356
18.5256868,120.747824
18.5256081,120.7477129
18.5255253,120.7476038
18.525439,120.7474972
18.5253465,120.7473921
18.5252499,120.7472855
18.5251534,120.7471797
18.5250592,120.7470772
18.5249655,120.7469749
18.524871,120.746872
18.5247764,120.7467681
18.5246829,120.7466665
18.5245883,120.7465645
18.5244947,120.7464639
18.5243998,120.7463647
18.5243066,120.7462655
18.5242115,120.7461634
18.5241163,120.7460649
18.5240214,120.7459677
18.5239257,120.7458699
18.5238333,120.7457781
18.5237385,120.7456877
18.5236399,120.7456011
18.5235429,120.7455159
18.5234427,120.7454352
18.5233396,120.7453552
18.5232318,120.7452789
18.5231209,120.7452077
18.5230068,120.7451404
18.5229028,120.7450756
18.5227823,120.7450121
18.5226607,120.7449518
18.5225377,120.7448963
18.5224139,120.7448463
18.5222894,120.744798
18.5221632,120.7447497
18.5220385,120.7447033
18.5219133,120.7446573
18.5217882,120.7446121
18.5216637,120.7445666
18.5215389,120.7445198
18.521416,120.7444725
18.5212932,120.7444199
