OriginalLat,OriginalLon,SnappedLat,SnappedLon,DeviationMeters,Timestamp,Speed,DeviceID,TrackingID,UserID,ModeID,CauseID,KilometerPostID,FilePath,DistrictID,SecDiff,DistanceDiff,IsBreak
18.5331062,120.7588758,18.5331062,120.7588758,1.7976931348623157E+308,1/21/2026 9:00:00 AM,39,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,10.949724261974358,False
18.5330867,120.7587727,18.5330867,120.7587727,1.7976931348623157E+308,1/21/2026 9:00:01 AM,40,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,11.083824705477022,False
18.5330682,120.7586673,18.5330682,120.7586673,1.7976931348623157E+308,1/21/2026 9:00:02 AM,40,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,11.300956630250155,False
18.5330482,120.7585665,18.5330482,120.7585665,1.7976931348623157E+308,1/21/2026 9:00:03 AM,40,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,10.857382140526934,False
18.5330164,120.7584614,18.5330164,120.7584614,1.7976931348623157E+308,1/21/2026 9:00:04 AM,41,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,11.631051760646086,False
18.5329748,120.7583584,18.5329748,120.7583584,1.7976931348623157E+308,1/21/2026 9:00:05 AM,42,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,11.803299533804806,False
18.5329239,120.7582563,18.5329239,120.7582563,1.7976931348623157E+308,1/21/2026 9:00:06 AM,43,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,12.161521081278291,False
18.5328699,120.7581559,18.5328699,120.7581559,1.7976931348623157E+308,1/21/2026 9:00:07 AM,44,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,12.16951188555208,False
18.5328094,120.7580563,18.5328094,120.7580563,1.7976931348623157E+308,1/21/2026 9:00:08 AM,45,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,12.470798101653276,False
18.5327492,120.7579522,18.5327492,120.7579522,1.7976931348623157E+308,1/21/2026 9:00:09 AM,46,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,12.85542319601499,False
18.5326863,120.757854,18.5326863,120.757854,1.7976931348623157E+308,1/21/2026 9:00:10 AM,46,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,12.49418896851678,False
18.5326264,120.7577554,18.5326264,120.7577554,1.7976931348623157E+308,1/21/2026 9:00:11 AM,44,b8,991788-1768840522081-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-4,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,12.34604435199361,False
