Lat,Lon
18.4134459,120.5949998
18.4134534,120.5949873
18.4134665,120.5949746
18.4134907,120.5949623
18.4135231,120.594949
18.4135665,120.5949297
18.4136075,120.5949051
18.4136482,120.5948824
18.413698,120.5948573
18.4137518,120.5948286
18.4138193,120.5947903
18.4138963,120.5947435
18.4139808,120.5946914
18.4140633,120.5946348
18.4141509,120.5945752
18.4142437,120.5945104
18.4143338,120.5944514
18.4144247,120.5943819
18.4145274,120.5943162
18.4146281,120.5942431
18.4147288,120.5941769
18.4148313,120.5941068
18.4149306,120.5940406
18.4150271,120.5939723
18.4151323,120.5938978
18.4152413,120.5938214
18.4153544,120.5937402
18.4154674,120.59366
18.4155762,120.5935814
18.4156883,120.5935051
18.4157973,120.5934221
18.4159134,120.5933375
18.4160274,120.5932579
18.4161475,120.593176
18.4162672,120.5931
18.4163917,120.5930271
18.4165032,120.5929603
18.4166329,120.592903
18.4167599,120.5928467
18.4168954,120.5927955
18.4170345,120.5927508
18.4171704,120.5927091
18.4173106,120.5926672
18.4174468,120.5926287
18.4175808,120.5925923
18.4177187,120.5925537
18.4178578,120.5925199
18.4179951,120.5924854
18.4181339,120.5924475
18.418274,120.592413
18.4184149,120.5923765
18.4185552,120.5923401
18.4186943,120.5923047
18.4188264,120.5922646
18.4189633,120.5922271
18.4191003,120.5921901
18.4192268,120.5921531
18.4193635,120.5921181
18.4195018,120.5920833
18.4196385,120.5920474
18.4197722,120.5920134
18.4199072,120.5919822
18.4200441,120.5919481
18.4201816,120.591917
18.4203197,120.5918874
18.4204603,120.5918552
18.4205981,120.5918265
18.4207369,120.5917965
18.4208743,120.5917704
18.4210125,120.5917473
18.4211506,120.591733
18.4212867,120.5917251
18.4214261,120.5917231
18.4215632,120.5917235
18.4217003,120.5917321
18.4218364,120.591751
18.4219804,120.5917552
18.4221169,120.591775
18.4222561,120.5917953
18.4223999,120.5918182
18.4225363,120.5918405
18.4226762,120.5918595
18.4228164,120.5918793
18.4229581,120.5918976
18.4230978,120.5919146
18.4232465,120.5919252
18.4233869,120.5919315
18.4235332,120.5919357
18.4236724,120.591923
18.4238106,120.5918963
18.4239438,120.5918565
18.4240805,120.591804
18.4242177,120.5917455
18.4243534,120.5916841
18.4244873,120.5916229
18.4246175,120.5915596
18.4247438,120.5914923
18.4248712,120.5914293
18.4249964,120.5913604
18.4251276,120.591283
18.4252635,120.5912079
18.4253803,120.5911361
18.4255009,120.5910711
18.4256167,120.5910117
18.4257375,120.5909585
18.4258772,120.5909297
18.4260093,120.5908989
18.4261498,120.5908689
18.4262835,120.5908384
18.4264181,120.5908088
18.4265539,120.5907784
18.4266969,120.590753
18.4268365,120.5907434
18.4269774,120.5907411
18.4271214,120.5907467
18.4272651,120.5907513
18.4274035,120.5907562
18.4275453,120.5907586
18.4276826,120.5907644
18.4278173,120.5907664
18.4279526,120.5907732
18.4280821,120.5907742
18.4282063,120.5907753
18.4283269,120.5907772
18.4284486,120.5907686
18.4285711,120.5907492
18.4286959,120.5907126
18.4288238,120.590658
18.4289421,120.590591
18.429061,120.5905164
18.4291819,120.5904327
18.4292968,120.5903472
18.4294102,120.5902625
18.4295155,120.5901841
18.4296332,120.5901016
18.4297589,120.5900294
18.429871,120.589953
18.4299927,120.5898831
18.4301062,120.5898165
18.4302243,120.589755
18.4303412,120.5896936
18.430456,120.5896349
18.4305638,120.5895696
18.43067,120.5894958
18.4307746,120.5894151
18.4308744,120.5893215
18.4309704,120.5892241
18.4310683,120.5891262
18.4311673,120.5890282
18.4312659,120.5889258
18.4313608,120.5888256
18.4314611,120.5887223
18.4315602,120.5886204
18.4316574,120.5885154
18.4317634,120.5884132
18.4318596,120.5883071
