OriginalLat,OriginalLon,SnappedLat,SnappedLon,DeviationMeters,Timestamp,Speed,DeviceID,TrackingID,UserID,ModeID,CauseID,KilometerPostID,FilePath,DistrictID,SecDiff,DistanceDiff,IsBreak
18.1850477,120.5890707,18.1850477,120.5890707,1.7976931348623157E+308,1/19/2026 7:59:32 AM,2,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,0.4888943999457127,False
18.1850533,120.5890669,18.1850533,120.5890669,1.7976931348623157E+308,1/19/2026 7:59:33 AM,2,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,0.7408751005771365,False
18.1850605,120.5890628,18.1850605,120.5890628,1.7976931348623157E+308,1/19/2026 7:59:34 AM,3,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,0.9102561845147693,False
18.1850693,120.5890581,18.1850693,120.5890581,1.7976931348623157E+308,1/19/2026 7:59:35 AM,4,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,1.0972774163544257,False
18.1850784,120.5890538,18.1850784,120.5890538,1.7976931348623157E+308,1/19/2026 7:59:36 AM,4,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,1.1091608964438902,False
18.1850929,120.5890469,18.1850929,120.5890469,1.7976931348623157E+308,1/19/2026 7:59:37 AM,7,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,1.7694423509059103,False
18.1851126,120.5890386,18.1851126,120.5890386,1.7976931348623157E+308,1/19/2026 7:59:38 AM,8,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,2.359508637967952,False
18.1851356,120.5890297,18.1851356,120.5890297,1.7976931348623157E+308,1/19/2026 7:59:39 AM,10,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,2.7248316625471354,False
18.1851618,120.5890198,18.1851618,120.5890198,1.7976931348623157E+308,1/19/2026 7:59:40 AM,11,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,3.095343801846167,False
18.185192,120.58901,18.185192,120.58901,1.7976931348623157E+308,1/19/2026 7:59:41 AM,13,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,3.514051274266686,False
18.1852273,120.5889989,18.1852273,120.5889989,1.7976931348623157E+308,1/19/2026 7:59:42 AM,15,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,4.0965927604596235,False
18.1852652,120.5889883,18.1852652,120.5889883,1.7976931348623157E+308,1/19/2026 7:59:43 AM,16,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,4.3605230444075405,False
18.1853064,120.5889793,18.1853064,120.5889793,1.7976931348623157E+308,1/19/2026 7:59:44 AM,16,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,4.678850153683137,False
18.1853522,120.5889614,18.1853522,120.5889614,1.7976931348623157E+308,1/19/2026 7:59:45 AM,18,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,5.432463025581443,False
18.1854056,120.5889468,18.1854056,120.5889468,1.7976931348623157E+308,1/19/2026 7:59:46 AM,21,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,6.134854821510097,False
18.1854611,120.5889311,18.1854611,120.5889311,1.7976931348623157E+308,1/19/2026 7:59:47 AM,23,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,6.390305112489463,False
18.185522,120.5889185,18.185522,120.5889185,1.7976931348623157E+308,1/19/2026 7:59:48 AM,24,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,6.901350827962189,False
18.18559,120.5889059,18.18559,120.5889059,1.7976931348623157E+308,1/19/2026 7:59:49 AM,28,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,7.677521500335122,False
18.1856728,120.5888917,18.1856728,120.5888917,1.7976931348623157E+308,1/19/2026 7:59:50 AM,32,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,9.328346047748845,False
18.1857577,120.5888762,18.1857577,120.5888762,1.7976931348623157E+308,1/19/2026 7:59:51 AM,34,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,9.581401968158735,False
18.1858419,120.5888615,18.1858419,120.5888615,1.7976931348623157E+308,1/19/2026 7:59:52 AM,34,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,9.490525435558705,False
18.1859292,120.588845,18.1859292,120.588845,1.7976931348623157E+308,1/19/2026 7:59:53 AM,35,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,9.862570623775765,False
18.1860129,120.5888276,18.1860129,120.5888276,1.7976931348623157E+308,1/19/2026 7:59:54 AM,34,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,9.486796905884763,False
18.1860972,120.5888118,18.1860972,120.5888118,1.7976931348623157E+308,1/19/2026 7:59:55 AM,33,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-2,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,9.521177445196587,False
