OriginalLat,OriginalLon,SnappedLat,SnappedLon,DeviationMeters,Timestamp,Speed,DeviceID,TrackingID,UserID,ModeID,CauseID,KilometerPostID,FilePath,DistrictID,SecDiff,DistanceDiff,IsBreak
18.1850471,120.5890003,18.1850471,120.5890003,1.7976931348623157E+308,1/19/2026 10:59:50 AM,3,b8,330473-1768743749381-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-1,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,0.9223486365817318,False
18.1850669,120.5889897,18.1850669,120.5889897,1.7976931348623157E+308,1/19/2026 10:59:51 AM,10,b8,330473-1768743749381-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-1,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,2.4700703872147303,False
18.185091,120.5889757,18.185091,120.5889757,1.7976931348623157E+308,1/19/2026 10:59:52 AM,12,b8,330473-1768743749381-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-1,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,3.060830716408244,False
18.1851199,120.5889648,18.1851199,120.5889648,1.7976931348623157E+308,1/19/2026 10:59:53 AM,13,b8,330473-1768743749381-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-1,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,3.4136082540687127,False
18.18515,120.5889599,18.18515,120.5889599,1.7976931348623157E+308,1/19/2026 10:59:54 AM,12,b8,330473-1768743749381-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-1,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,3.3867598907877583,False
18.1851794,120.5889576,18.1851794,120.5889576,1.7976931348623157E+308,1/19/2026 10:59:55 AM,11,b8,330473-1768743749381-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-1,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,3.2781478077852966,False
18.1852076,120.5889555,18.1852076,120.5889555,1.7976931348623157E+308,1/19/2026 10:59:56 AM,11,b8,330473-1768743749381-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-1,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,3.1435347903515645,False
18.1852325,120.5889542,18.1852325,120.5889542,1.7976931348623157E+308,1/19/2026 10:59:57 AM,10,b8,330473-1768743749381-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-1,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,2.7721575264269687,False
18.1852587,120.5889547,18.1852587,120.5889547,1.7976931348623157E+308,1/19/2026 10:59:58 AM,11,b8,330473-1768743749381-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-1,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,2.9137858766930957,False
18.1852868,120.5889564,18.1852868,120.5889564,1.7976931348623157E+308,1/19/2026 10:59:59 AM,11,b8,330473-1768743749381-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-1,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,3.1297342745775087,False
18.18532,120.5889582,18.18532,120.5889582,1.7976931348623157E+308,1/19/2026 11:00:00 AM,13,b8,330473-1768743749381-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-1,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,3.696565621415995,False
