Lat,Lon
18.4163962,120.5928868
18.4163746,120.592908
18.4163472,120.5929328
18.416311,120.5929612
18.4162699,120.5929898
18.4162266,120.5930169
18.4161766,120.5930522
18.4161156,120.5930912
18.4160503,120.5931409
18.4159764,120.593193
18.4159003,120.5932494
18.4158238,120.5933066
18.4157399,120.5933662
18.4156502,120.5934322
18.4155543,120.5934996
18.4154566,120.5935717
18.415356,120.5936444
18.4152552,120.5937169
18.415157,120.5937882
18.4150606,120.5938581
18.4149627,120.5939279
18.4148672,120.5939979
18.4147686,120.5940686
18.4146676,120.5941417
18.4145655,120.5942144
18.4144654,120.5942881
18.4143637,120.5943611
18.4142585,120.5944361
18.4141541,120.5945099
18.414045,120.5945842
18.4139366,120.5946596
18.4138305,120.5947272
18.4137169,120.5947925
18.4136009,120.5948534
18.4134838,120.5949123
18.4133609,120.5949725
18.4132467,120.595032
18.4131207,120.5950897
18.4129991,120.5951442
18.4128768,120.5951984
18.4127533,120.59525
18.4126295,120.5953047
18.4125017,120.5953633
18.4123745,120.5954169
18.4122512,120.5954715
18.412122,120.5955247
18.4119996,120.5955802
18.4118698,120.5956354
18.4117424,120.5956919
18.411608,120.5957542
18.4114788,120.5958139
18.4113472,120.5958734
18.4112184,120.5959302
18.4110893,120.5959876
18.4109615,120.596048
18.4108352,120.5961033
18.4107028,120.5961548
18.4105682,120.5962018
18.4104307,120.5962403
18.4102969,120.5962609
18.4101536,120.5962808
18.4100201,120.5962903
18.4098799,120.5963006
18.4097392,120.5963107
18.4096038,120.5963167
18.4094629,120.5963229
18.409315,120.5963363
18.4091684,120.5963478
18.4090244,120.596359
18.4088795,120.596372
18.4087364,120.5963885
18.4085974,120.596405
18.4084529,120.5964186
18.4083095,120.5964379
18.4081664,120.5964588
18.4080186,120.596482
18.4078728,120.5965019
18.4077264,120.5965223
18.4075813,120.5965424
18.4074349,120.5965643
18.4072913,120.5965865
18.4071453,120.5966142
18.4070045,120.5966387
18.4068548,120.5966678
18.4067129,120.5966967
18.4065676,120.5967222
18.4064225,120.5967513
18.4062825,120.5967791
18.4061412,120.5968115
18.4060069,120.5968512
18.4058712,120.5968904
18.4057282,120.5969255
18.4055844,120.5969631
18.4054505,120.596999
18.4053152,120.5970344
18.4051805,120.5970682
18.4050475,120.5971078
18.4049245,120.5971404
18.4047977,120.597169
18.4046711,120.5971922
18.4045418,120.5972085
18.4044095,120.5972235
18.4042737,120.5972307
18.4041341,120.5972332
18.4039988,120.5972322
18.4038645,120.5972338
18.4037282,120.5972371
18.4035928,120.5972371
18.4034529,120.5972411
18.4033127,120.5972451
18.4031649,120.5972495
18.403017,120.5972533
18.4028724,120.5972576
18.4027276,120.5972586
18.4025806,120.5972642
18.4024338,120.5972648
18.4022895,120.5972682
18.4021464,120.5972691
18.4019979,120.5972626
18.4018566,120.597265
18.4017091,120.5972643
18.4015592,120.5972643
18.4014153,120.5972605
18.4012603,120.5972576
18.4011099,120.5972526
18.4009598,120.5972464
18.4008084,120.5972412
18.4006539,120.5972393
18.4005056,120.5972396
18.4003598,120.5972378
18.4002182,120.5972369
18.4000869,120.5972342
18.3999515,120.5972366
18.3998121,120.5972359
18.3996786,120.59724
18.399543,120.5972424
18.3994023,120.5972444
18.3992691,120.5972415
18.3991351,120.5972379
18.398998,120.5972357
18.3988552,120.5972269
