OriginalLat,OriginalLon,SnappedLat,SnappedLon,DeviationMeters,Timestamp,Speed,DeviceID,TrackingID,UserID,ModeID,CauseID,KilometerPostID,FilePath,DistrictID,SecDiff,DistanceDiff,IsBreak
18.4163746,120.592908,18.4163746,120.592908,1.7976931348623157E+308,1/19/2026 8:59:36 AM,13,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,3.281933529467391,False
18.4163472,120.5929328,18.4163472,120.5929328,1.7976931348623157E+308,1/19/2026 8:59:37 AM,16,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,4.015993266088821,False
18.416311,120.5929612,18.416311,120.5929612,1.7976931348623157E+308,1/19/2026 8:59:38 AM,20,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,5.017961302245303,False
18.4162699,120.5929898,18.4162699,120.5929898,1.7976931348623157E+308,1/19/2026 8:59:39 AM,19,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,5.476317683495152,False
18.4162266,120.5930169,18.4162266,120.5930169,1.7976931348623157E+308,1/19/2026 8:59:40 AM,20,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,5.599636470456734,False
18.4161766,120.5930522,18.4161766,120.5930522,1.7976931348623157E+308,1/19/2026 8:59:41 AM,24,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,6.691796720430993,False
18.4161156,120.5930912,18.4161156,120.5930912,1.7976931348623157E+308,1/19/2026 8:59:42 AM,28,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,7.933272434156009,False
18.4160503,120.5931409,18.4160503,120.5931409,1.7976931348623157E+308,1/19/2026 8:59:43 AM,34,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,8.956307022312245,False
18.4159764,120.593193,18.4159764,120.593193,1.7976931348623157E+308,1/19/2026 8:59:44 AM,37,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,9.886171406483397,False
18.4159003,120.5932494,18.4159003,120.5932494,1.7976931348623157E+308,1/19/2026 8:59:45 AM,39,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,10.344539372884762,False
